select * from angajati;,21 5 2022 01:20
select * from programari;,21 5 2022 01:20
select * from medici;,21 5 2022 01:20
select * from pacienti;,21 5 2022 01:20
select * from programari;,21 5 2022 01:20
select * from programari;,21 5 2022 01:20
select * from programari;,21 5 2022 01:21
select * from programari;,21 5 2022 01:21
select * from angajati;,21 5 2022 10:03
select * from medici;,21 5 2022 10:03
select * from pacienti;,21 5 2022 10:03
select * from programari;,21 5 2022 10:03
select * from angajati;,21 5 2022 10:03
select * from angajati;,21 5 2022 10:03
select * from angajati;,21 5 2022 10:04
select * from medici;,21 5 2022 10:04
select * from pacienti;,21 5 2022 10:04
select * from programari;,21 5 2022 10:04
select * from angajati;,21 5 2022 10:05
select * from medici;,21 5 2022 10:05
select * from pacienti;,21 5 2022 10:05
select * from programari;,21 5 2022 10:05
select * from pacienti;,21 5 2022 10:05
select * from angajati;,21 5 2022 10:05
select * from angajati;,21 5 2022 10:06
select * from pacienti;,21 5 2022 10:06
select * from angajati;,21 5 2022 10:08
select * from medici;,21 5 2022 10:08
select * from pacienti;,21 5 2022 10:08
select * from programari;,21 5 2022 10:08
select * from angajati;,21 5 2022 10:08
select * from angajati;,21 5 2022 10:09
select * from medici;,21 5 2022 10:09
select * from pacienti;,21 5 2022 10:09
select * from programari;,21 5 2022 10:09
select * from angajati;,21 5 2022 10:10
select * from medici;,21 5 2022 10:10
select * from pacienti;,21 5 2022 10:10
select * from programari;,21 5 2022 10:10
select * from angajati;,21 5 2022 10:10
select * from medici;,21 5 2022 10:10
select * from pacienti;,21 5 2022 10:10
select * from programari;,21 5 2022 10:10
select * from angajati;,21 5 2022 10:11
select * from medici;,21 5 2022 10:11
select * from pacienti;,21 5 2022 10:11
select * from programari;,21 5 2022 10:11
select * from angajati;,21 5 2022 10:11
select * from medici;,21 5 2022 10:11
select * from pacienti;,21 5 2022 10:11
select * from programari;,21 5 2022 10:11
select * from angajati;,21 5 2022 10:12
select * from medici;,21 5 2022 10:12
select * from pacienti;,21 5 2022 10:12
select * from programari;,21 5 2022 10:12
select * from angajati;,21 5 2022 10:12
select * from angajati;,21 5 2022 10:16
select * from medici;,21 5 2022 10:16
select * from pacienti;,21 5 2022 10:16
select * from programari;,21 5 2022 10:16
select * from angajati;,21 5 2022 10:22
select * from medici;,21 5 2022 10:22
select * from pacienti;,21 5 2022 10:22
select * from programari;,21 5 2022 10:22
select * from angajati;,21 5 2022 10:22
select * from medici;,21 5 2022 10:22
select * from pacienti;,21 5 2022 10:22
select * from programari;,21 5 2022 10:22
select * from angajati;,21 5 2022 10:23
select * from medici;,21 5 2022 10:23
select * from pacienti;,21 5 2022 10:23
select * from programari;,21 5 2022 10:23
select * from angajati;,21 5 2022 10:24
select * from medici;,21 5 2022 10:24
select * from pacienti;,21 5 2022 10:24
select * from programari;,21 5 2022 10:24
select * from angajati;,21 5 2022 10:25
select * from medici;,21 5 2022 10:25
select * from pacienti;,21 5 2022 10:25
select * from programari;,21 5 2022 10:25
select * from angajati;,21 5 2022 10:26
select * from medici;,21 5 2022 10:26
select * from pacienti;,21 5 2022 10:26
select * from programari;,21 5 2022 10:26
select * from angajati;,21 5 2022 10:26
select * from angajati;,21 5 2022 10:27
select * from medici;,21 5 2022 10:27
